geom_x,geom_y,plotID,treeID,pDBH_RF,Z,Z_ft
725436.246,4162720.115,1,369,10.2029000004061,21.964,72.06036976
725438.351,4162721.562,1,355,9.079240011921,20.632,67.69029088
725439.348,4162723.134,1,344,8.35564000674657,20.741,68.04790244
725444.608,4162725.918,1,322,9.08799334755881,21.876,71.77165584000001
725446.519,4162727.003,1,315,9.01002662012898,21.869,71.74868996
725449.026,4162728.421,1,302,9.53799336252437,21.245,69.7014458
725450.837,4162729.709,1,293,9.16767668240294,21.423,70.28543531999999
725451.818,4162731.098,1,285,8.76251336654387,20.451999999999998,67.09973968
725453.193,4162732.422,1,278,9.60305997899983,21.21,69.5866164
725455.114,4162732.887,1,276,9.11692002482594,20.430999999999997,67.03084204
725456.492,4162734.014,1,269,8.78532001215833,20.173999999999996,66.18766615999999
725458.01,4162734.694,1,10,8.33927002332423,19.644,64.44882095999999
725459.484,4162735.528,1,262,8.65008332694963,20.121,66.01378163999999
725461.391,4162736.441,1,257,9.0020367154876,21.537,70.65945108
725462.931,4162737.642,1,8,8.54279664234083,19.616,64.35695744
725464.363,4162738.69,1,248,8.76108332469729,20.498,67.25065832
725466.022,4162739.347,1,242,8.05504338561857,20.224,66.35170816
725467.479,4162740.836,1,239,8.97326000201716,20.398,66.92257432
725471.506,4162743.671,1,4,8.19706998221947,18.556,60.87926704
725473.385,4162744.975,1,232,9.83007665415343,20.647,67.73950348
725437.705,4162717.337,1,392,9.9333299900585,22.857,74.99015988
725439.777,4162719.139,1,23,8.70319999182797,19.858,65.15092072
725443.226,4162721.201,1,357,8.42441999585313,21.728,71.28609152
725445.064,4162722.048,1,349,8.2972166886696,21.726,71.27952984
725446.298,4162723.524,1,340,8.46864666292934,19.406,63.667981039999994
725447.93,4162723.772,1,338,7.96280669263831,19.629999999999995,64.40288919999999
725449.273,4162725.159,1,328,8.87097666207019,21.408,70.23622272
725452.596,4162726.971,1,310,8.36423000932903,20.37,66.8307108
725453.936,4162728.082,1,304,8.10179003828217,20.013000000000005,65.65945092000001
725455.207,4162729.299,1,296,7.7886000122568,19.998,65.61023832000001
725456.869,4162730.172,1,291,8.69591000465927,20.863,68.44816492
725458.792,4162731.292,1,283,8.40617334707637,21.685999999999996,71.14829624
725461.585,4162732.993,1,273,8.1817866999393,21.633999999999997,70.97769256
725463.773,4162733.969,1,270,8.99239003568517,20.692,67.88714128
725465.829,4162735.866,1,259,6.84524666048074,19.385,63.599083400000005
725471.957,4162740.423,1,7,8.00985663519071,18.235,59.8261174
725473.731,4162741.012,1,238,8.72343334308009,20.558,67.44750872
725475.703,4162742.737,1,236,9.49885334725409,19.68,64.5669312
725441.184,4162712.637,1,443,9.6358833255465,21.530000000000005,70.63648520000001
725443.338,4162713.805,1,430,8.75381333162413,21.136999999999997,69.34711508
725444.637,4162714.873,1,421,8.9635466846718,20.943,68.71063212
725446.384,4162716.006,1,410,8.09311334282003,21.075,69.143703
725449.57,4162717.809,1,389,8.5292100061616,20.638,67.70997592
725454.136,4162720.827,1,362,8.49734998561173,21.041,69.03215444
725457.124,4162722.944,1,343,8.49379002616477,22.236000000000004,72.95275824000001
725459.067,4162723.838,1,336,8.98610334889393,22.216,72.88714144000001
725460.314,4162725.033,1,18,8.58343331316536,21.117,69.28149828000001
725462.167,4162725.731,1,321,8.74093999301883,22.020999999999997,72.24737764
725462.945,4162727.437,1,308,8.68083334978514,20.74,68.0446216
725464.735,4162727.753,1,305,8.70774335046767,20.817,68.29724628
725466.418,4162729.215,1,297,8.67412338594526,21.72,71.2598448
725468.142,4162730.422,1,289,7.63927334122247,21.792,71.49606528000001
725470.772,4162732.077,1,277,8.1544666865631,21.941,71.98491044
725472.38,4162733.078,1,11,8.123140007047,20.768,68.13648512
725475.461,4162735.142,1,9,7.63850001138247,19.14,62.7952776
725476.905,4162736.255,1,258,8.1198100045272,20.139,66.07283676
725478.848,4162737.574,1,252,8.70934334259257,20.445,67.0767738
725446.304,4162705.003,1,527,9.51942998088084,21.233,69.66207572
725448.702,4162706.579,1,509,9.04496004114697,21.321000000000005,69.95078964000001
725450.364,4162707.783,1,496,8.62043669567331,20.33,66.69947719999999
725456.593,4162711.776,1,454,7.67807331999166,20.197,66.26312548
725461.375,4162714.844,1,422,8.35951669505804,20.895,68.5531518
725463.919,4162716.31,1,26,7.77705002056466,20.263,66.47966092
725465.471,4162717.659,1,394,8.84373666583296,21.404000000000003,70.22309936
725467.586,4162718.713,1,381,9.08544003448969,20.595,67.5688998
